StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_sue_AV_1,vB_sue_AV_1,defective_AV_1,negligence_AV_1,counterfactual_AV_1,capability_AV_1,fault_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_sue_1,vB_sue_1,defective_1,negligence_1,counterfactual_1,capability_1,fault_1,superhuman_1,comp1,comp_accident,punish_1_1,punish_2_1,punish_3_1,punish_4_1,punish_5_1,punish_6_1,punish_7_1,punish_8_1,punish_9_1,punish_10_1,punish_11_1,punish_12_1,punish_13_1,punish_14_1,punish_15_1,ai_familiarity_1,liab_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,scales_DO
2022-05-23 09:30:18,2022-05-23 09:34:28,0,47.33.196.155,100,249,1,2022-05-23 09:34:28,R_poAIuUcfyaKNh4J,,,,,43.6055,-84.7796,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,11.865,0,0,0,14.77,0,100,22,0,0,0,0,22,100,,1,57,29,27,94,100,23,67,5,33,71,94,67,81,57,83,25,10,1,,37,3,,FL_40,,,Q90|defective|vB_sue|negligence|vA_sue,Q71|counterfactual|fault|capability,Q117|punish_15|punish_6|punish_10|punish_1|punish_12|punish_11|punish_8|punish_5|punish_2|punish_13|punish_3|punish_4|punish_7|punish_14|punish_9
2022-05-23 09:36:17,2022-05-23 09:39:30,0,70.229.208.176,100,193,1,2022-05-23 09:39:31,R_4YKXMkctXjbrUAN,,,,,38.0004,-121.3105,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,2.973,6.327,10.894,2,0,0,10.57,0,89,42,17,0,3,12,63,100,,1,0,13,0,0,86,0,81,0,0,0,28,0,38,64,0,23,63,1,,24,3,,FL_40,,,Q90|vB_sue|defective|vA_sue|negligence,Q71|capability|counterfactual|fault,Q117|punish_12|punish_3|punish_2|punish_15|punish_6|punish_11|punish_10|punish_7|punish_4|punish_13|punish_1|punish_5|punish_8|punish_14|punish_9
2022-05-23 09:37:33,2022-05-23 09:40:50,0,74.75.42.26,100,196,1,2022-05-23 09:40:50,R_2xUW7S9hX5yhWfe,,,,,44.8227,-68.8001,anonymous,EN,1,2,2,0,0,20.601,0,0,0,11.379,0,87,2,4,1,7,7,39,,,,,,,,,,,,,,,,62,1,1,0,14,14,0,85,16,60,16,10,7,27,0,14,25,14,62,36,2,,35,4,,FL_39,Q116|vA_sue_AV|negligence_AV|vB_sue_AV|defective_AV,Q122|fault_AV|capability_AV|counterfactual_AV,,,Q117|punish_13|punish_1|punish_10|punish_15|punish_14|punish_11|punish_7|punish_4|punish_3|punish_5|punish_2|punish_9|punish_8|punish_12|punish_6
2022-05-23 09:36:13,2022-05-23 09:40:50,0,209.212.61.77,100,276,1,2022-05-23 09:40:50,R_2YE1Nso9Y4x3JRc,,,,,39.5102,-104.7216,anonymous,EN,1,2,2,8.569,8.569,20.097,1,0,0,13.276,0,100,0,0,0,0,0,100,,,,,,,,,,,,,,,,100,1,1,0,0,0,0,50,0,20,0,17,0,33,50,24,19,23,76,26,1,,42,4,,FL_39,Q116|vA_sue_AV|negligence_AV|defective_AV|vB_sue_AV,Q122|counterfactual_AV|capability_AV|fault_AV,,,Q117|punish_5|punish_11|punish_7|punish_10|punish_15|punish_12|punish_4|punish_1|punish_8|punish_6|punish_14|punish_13|punish_9|punish_2|punish_3
2022-05-23 09:46:18,2022-05-23 09:53:28,0,68.54.31.62,100,429,1,2022-05-23 09:53:28,R_3HIkhoEYKhT0skI,,,,,44.9174,-92.9478,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,91.069,0,0,0,12.9,0,100,0,0,0,0,0,100,50,,1,50,81,80,19,100,81,100,91,50,50,70,10,71,100,72,10,71,2,,52,4,,FL_40,,,Q90|defective|vB_sue|vA_sue|negligence,Q71|capability|fault|counterfactual,Q117|punish_7|punish_13|punish_10|punish_3|punish_2|punish_9|punish_4|punish_6|punish_12|punish_1|punish_11|punish_8|punish_14|punish_15|punish_5
2022-05-23 09:54:38,2022-05-23 10:01:38,0,66.189.246.154,100,419,1,2022-05-23 10:01:39,R_1LUnwTSuLyA7gLO,,,,,33.3708,-84.8154,anonymous,EN,1,2,2,0,0,34.777,0,0,0,12.047,0,100,0,0,0,0,0,100,,,,,,,,,,,,,,,,100,1,1,60,100,100,0,100,100,100,100,70,80,70,0,50,70,20,20,0,1,,48,3,,FL_39,Q116|negligence_AV|defective_AV|vA_sue_AV|vB_sue_AV,Q122|fault_AV|counterfactual_AV|capability_AV,,,Q117|punish_2|punish_9|punish_5|punish_14|punish_8|punish_1|punish_6|punish_15|punish_4|punish_11|punish_12|punish_7|punish_3|punish_13|punish_10
2022-05-23 10:05:35,2022-05-23 10:09:51,0,70.177.157.191,100,255,1,2022-05-23 10:09:51,R_1LvBV4FHyNz0RcJ,,,,,32.5938,-83.642,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,20.039,0,0,0,11.37,0,100,0,0,0,0,0,50,71,,1,50,0,10,0,81,15,58,20,0,11,50,0,50,55,0,20,20,2,,40,4,,FL_40,,,Q90|defective|vA_sue|negligence|vB_sue,Q71|counterfactual|capability|fault,Q117|punish_7|punish_11|punish_15|punish_4|punish_12|punish_8|punish_3|punish_6|punish_5|punish_1|punish_9|punish_13|punish_2|punish_14|punish_10
2022-05-23 10:07:17,2022-05-23 10:18:23,0,65.188.49.244,100,666,1,2022-05-23 10:18:24,R_AolisNRPgfPBLWh,,,,,34.1108,-81.195,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,17.624,0,0,0,18.29,0,73,21,33,30,27,32,23,69,,1,65,59,38,42,69,40,67,65,55,64,67,62,39,28,32,70,43,2,,20,3,,FL_40,,,Q90|vB_sue|defective|vA_sue|negligence,Q71|capability|counterfactual|fault,Q117|punish_11|punish_6|punish_4|punish_14|punish_12|punish_7|punish_5|punish_13|punish_8|punish_2|punish_1|punish_3|punish_15|punish_10|punish_9
2022-05-23 10:11:40,2022-05-23 10:21:17,0,216.73.161.11,100,576,1,2022-05-23 10:21:17,R_3CCPuynuwzv0Gsq,,,,,40.7157,-74,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,8.339,35.868,38.921,13,18.873,18.873,20.208,1,73,29,72,38,38,40,30,60,,1,63,39,61,64,61,57,63,60,63,40,61,63,61,61,41,16,26,2,,28,4,,FL_40,,,Q90|vB_sue|defective|vA_sue|negligence,Q71|counterfactual|capability|fault,Q117|punish_3|punish_11|punish_14|punish_15|punish_7|punish_4|punish_1|punish_2|punish_12|punish_8|punish_13|punish_5|punish_9|punish_6|punish_10
2022-05-23 10:05:57,2022-05-23 10:23:27,0,104.51.221.198,100,1049,1,2022-05-23 10:23:27,R_3isy2waGmvLulW2,,,,,30.0516,-95.4707,anonymous,EN,1,2,2,280.309,280.309,281.08,1,0,0,21.822,0,33,90,100,64,87,68,65,,,,,,,,,,,,,,,,65,,2,75,68,72,17,29,72,32,73,66,70,66,88,34,32,82,17,22,2,,27,4,,FL_39,Q116|negligence_AV|defective_AV|vA_sue_AV|vB_sue_AV,Q122|fault_AV|counterfactual_AV|capability_AV,,,Q117|punish_9|punish_3|punish_7|punish_8|punish_2|punish_4|punish_11|punish_5|punish_14|punish_10|punish_6|punish_13|punish_1|punish_12|punish_15
2022-05-23 10:27:56,2022-05-23 10:31:28,0,74.122.61.232,100,212,1,2022-05-23 10:31:29,R_2tccLjKM7byY4gn,,,,,39.0469,-77.4903,anonymous,EN,1,2,2,17.132,26.124,27.724,3,13.419,13.419,14.462,1,63,88,80,86,74,65,69,,,,,,,,,,,,,,,,84,1,1,64,81,38,74,37,74,83,88,66,86,88,79,61,65,73,76,73,2,,29,4,,FL_39,Q116|vB_sue_AV|vA_sue_AV|negligence_AV|defective_AV,Q122|capability_AV|fault_AV|counterfactual_AV,,,Q117|punish_13|punish_7|punish_2|punish_3|punish_9|punish_10|punish_1|punish_6|punish_14|punish_12|punish_15|punish_8|punish_11|punish_4|punish_5
2022-05-23 10:32:54,2022-05-23 10:33:16,0,74.96.200.98,100,21,1,2022-05-23 10:33:16,R_uk632BphRToOJVL,,,,,38.8892,-76.9417,anonymous,EN,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 10:33:19,2022-05-23 10:33:53,0,74.96.200.98,100,33,1,2022-05-23 10:33:53,R_27CEgYeqb0q7MvI,,,,,38.8892,-76.9417,anonymous,EN,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 10:33:56,2022-05-23 10:34:22,0,74.96.200.98,100,26,1,2022-05-23 10:34:23,R_3njaW1Ps2VWDZNC,,,,,38.8892,-76.9417,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 10:35:01,2022-05-23 10:38:01,0,74.96.200.98,100,180,1,2022-05-23 10:38:02,R_AsXVtorJWekuM0N,,,,,38.8892,-76.9417,anonymous,EN,1,2,2,0,0,23.289,0,0,0,19.473,0,92,69,84,92,87,25,67,,,,,,,,,,,,,,,,42,1,1,70,82,42,94,92,82,78,93,74,77,91,86,39,75,61,86,70,2,,41,5,,FL_39,Q116|negligence_AV|defective_AV|vA_sue_AV|vB_sue_AV,Q122|capability_AV|counterfactual_AV|fault_AV,,,Q117|punish_6|punish_13|punish_14|punish_12|punish_3|punish_2|punish_5|punish_1|punish_8|punish_9|punish_7|punish_15|punish_11|punish_10|punish_4
2022-05-23 10:34:47,2022-05-23 10:38:40,0,202.182.66.26,100,232,1,2022-05-23 10:38:41,R_2Pv4Zn1QyNpWTzE,,,,,40.6446,-73.9743,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 10:38:46,2022-05-23 10:39:27,8,202.182.66.26,100,41,1,2022-05-23 10:39:27,R_3qqUGXsAiLz3uvL,,,,,40.6446,-73.9743,anonymous,EN,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 10:39:30,2022-05-23 10:44:33,0,202.182.66.26,100,302,1,2022-05-23 10:44:33,R_UclMmlkjqj8jnnb,,,,,40.6446,-73.9743,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,0,0,75.654,0,18.647,18.647,19.082,1,77,40,86,70,83,35,76,81,1,1,81,83,72,71,35,75,75,42,46,71,40,87,50,92,64,72,87,1,,42,4,,FL_40,,,Q90|defective|negligence|vB_sue|vA_sue,Q71|fault|counterfactual|capability,Q117|punish_6|punish_14|punish_5|punish_10|punish_13|punish_3|punish_2|punish_8|punish_7|punish_12|punish_9|punish_4|punish_1|punish_11|punish_15
2022-05-23 12:16:59,2022-05-23 12:17:41,0,174.53.212.232,100,42,1,2022-05-23 12:17:42,R_bBMe06sEP4I0edz,,,,,45.128,-93.4586,anonymous,EN,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23 12:16:13,2022-05-23 12:18:52,0,73.60.158.117,100,158,1,2022-05-23 12:18:53,R_2CIDvMeLVtkOgHk,,,,,42.5511,-71.256,anonymous,EN,1,2,2,5.515,5.515,15.489,1,0,0,10.939,0,94,43,100,39,59,98,50,,,,,,,,,,,,,,,,94,1,1,25,34,17,43,46,18,40,35,31,99,45,39,38,47,0,67,66,1,,26,4,,FL_39,Q116|negligence_AV|defective_AV|vA_sue_AV|vB_sue_AV,Q122|capability_AV|counterfactual_AV|fault_AV,,,Q117|punish_3|punish_1|punish_15|punish_9|punish_6|punish_13|punish_8|punish_4|punish_12|punish_2|punish_14|punish_11|punish_5|punish_7|punish_10
2022-05-23 12:16:29,2022-05-23 12:19:21,0,24.113.249.73,100,171,1,2022-05-23 12:19:21,R_2RUPwlg6V8MK0rY,,,,,47.7438,-122.6265,anonymous,EN,1,2,2,,,,,,,,,,,,,,,,3.173,3.173,12.771,1,1.444,1.444,11.626,1,50,50,56,50,70,62,50,76,,1,50,70,50,50,50,50,73,50,50,50,50,50,50,50,84,50,50,1,,26,5,,FL_40,,,Q90|vB_sue|vA_sue|negligence|defective,Q71|fault|counterfactual|capability,Q117|punish_10|punish_6|punish_11|punish_3|punish_1|punish_13|punish_15|punish_5|punish_9|punish_7|punish_2|punish_14|punish_4|punish_12|punish_8
